ip,lat,lng,org,cc
119.81.26.242,1.35208,103.82,SoftLayer Dutch Holdings B.V,SG
39.48.105.78,27.707,68.8525,Pakistan Telecommuication company limited,PK
140.110.147.170,24.144,120.6844,,TW
131.225.67.12,41.8478,-88.3075,Fermi National Accelerator Laboratory (Fermilab),US
203.181.249.197,35.6363,139.6043,Asia Pacific Advanced Network - Japan,JP
140.110.122.99,24.7826,120.996,,TW
152.3.137.246,35.961,-78.9291,Duke University,US
137.189.133.62,22.2908,114.1501,Chinese University of Hong Kong (The),HK
74.125.130.93,36.0571,-86.6729,Google LLC,US
192.122.131.98,1.29961,103.788,A*STAR,SG
171.67.76.38,37.4295,-122.178,Stanford University,US
159.226.11.160,39.9042,116.407,,CN
74.125.10.43,1.35208,103.82,Google LLC,SG
74.125.10.26,1.35208,103.82,Google LLC,SG
103.237.142.250,1.30286,103.789,ESSEC,SG
119.40.125.10,2.9862,101.7124,,MY
155.69.213.27,1.34712,103.68,Nanyang Technological University,SG
198.71.44.169,42.2338,-83.7289,Internet2,US
155.69.150.18,1.34712,103.68,Nanyang Technological University,SG
180.201.138.96,37.4623,118.501,"~{J/SM4sQ~}(~{;*6+~})~{G`5:?F=LT0Gx~}, University of Petroleum (East China) Qingdao Campus",CN
111.117.113.173,41.8057,123.431,,CN
54.255.177.238,1.28009,103.851,AWS EC2 (ap-southeast-1),SG
35.1.58.93,42.2709,-83.7268,Merit Network Inc.,US
123.136.64.33,1.29961,103.788,A Star,SG
155.69.146.147,1.34712,103.68,Nanyang Technological University,SG
138.246.2.202,48.1787,11.5617,,DE
128.32.189.230,37.9395,-122.3242,University of California,US
134.160.228.4,35.7907,139.6203,,JP
13.76.218.117,1.283,103.833,Microsoft Azure Cloud (southeastasia),SG
172.217.26.78,3.15062,101.67,Google LLC,MY
31.207.47.120,52.3763,4.9077,Hostkey B.V,NL
202.6.241.101,1.38755,103.844,A-STAR,SG
152.61.133.66,44.9778,-93.265,United States Geological Survey - EROS Data Center,US
172.217.27.4,1.35208,103.82,Google LLC,SG
210.119.23.2,36.3721,127.36,KREONet,KR
155.69.196.131,1.34712,103.68,Nanyang Technological University,SG
74.125.68.125,37.422,-122.084,Google LLC,US
137.132.196.133,1.29754,103.772,National University of Singapore,SG
202.6.242.63,1.38755,103.844,A-STAR,SG
203.135.190.2,4.46916,101.041,Universiti Teknologi Petronas,MY
193.60.231.143,51.3926,-0.1977,University College London,GB
203.106.67.128,3.033,101.7142,Unitelecbj Tmnet,MY
130.88.161.1,53.0766,-1.5233,The University of Manchester,GB
123.136.64.32,1.29961,103.788,A Star,SG
220.156.183.2,1.3032,103.793,"ComIT, Institute of Molecular and Cell Biology",SG
216.58.221.78,1.35208,103.82,Google LLC,SG
152.3.219.19,35.9806,-78.8426,Duke University,US
130.246.176.54,51.567,-1.78472,Science Technology Facilities Council,GB
106.10.137.175,1.35208,103.82,,SG
223.3.139.86,32.0603,118.797,,CN
103.86.131.113,6.4414,100.199,University Malaysia Perlis,MY
150.65.7.130,35.6906,139.77,Japan150,JP
74.125.181.4,50.85045,4.34878,Google Public DNS (bru),BE
74.125.200.127,37.422,-122.084,Google LLC,US
40.100.16.2,3.139,101.6868,Microsoft Corporation,MY
123.136.64.31,1.29961,103.788,A Star,SG
202.120.224.114,40.0018,116.333,,CN
155.69.160.3,1.34712,103.68,Nanyang Technological University,SG
123.136.64.29,1.29961,103.788,A Star,SG
155.69.196.157,1.34712,103.68,Nanyang Technological University,SG
155.69.196.82,1.34712,103.68,Nanyang Technological University,SG
172.217.27.1,1.35208,103.82,Google LLC,SG
104.44.201.147,43.6532,-79.3832,Microsoft Corporation,CA
155.69.253.4,1.34712,103.68,Nanyang Technological University,SG
202.179.252.18,39.9997,116.326,Tein2 Cernet,CN
202.46.129.68,-7.28236,112.795,,ID
192.33.14.30,38.9567,-77.3623,VeriSign Global Registry Services,US
128.114.119.163,37.0009,-122.061,"University of California, Santa Cruz",US
23.58.231.16,2.9304,101.6627,"Akamai Technologies, Inc.",MY
103.241.62.29,1.33296,103.894,MyRepublic Ltd.,SG
137.132.193.247,1.29754,103.772,National University of Singapore,SG
130.246.176.133,51.567,-1.78472,Science Technology Facilities Council,GB
23.58.255.181,2.9304,101.6627,"Akamai Technologies, Inc.",MY
155.69.196.194,1.34712,103.68,Nanyang Technological University,SG
130.14.250.7,39.0015,-77.0961,National Library of Medicine,US
104.44.201.171,43.6532,-79.3832,Microsoft Corporation,CA
203.80.21.41,2.92337,101.656,Myren Infra,MY
202.158.207.20,-35.2298,149.106,Australian Academic and Research Network,AU
155.69.17.79,1.34712,103.68,Nanyang Technological University,SG
152.61.133.130,44.9778,-93.265,United States Geological Survey - EROS Data Center,US
4.53.202.142,38.5816,-121.494,Caesars,US
155.69.253.21,1.34712,103.68,Nanyang Technological University,SG
54.192.151.172,1.35208,103.82,AWS CloudFront (GLOBAL),SG
140.112.8.139,25.033,121.565,,TW
207.241.227.89,37.7823,-122.472,Internet Archive,US
122.226.56.24,29.1003,119.6451,"Shaoxing Dingqi Netware Science Co., ltd",CN
193.62.192.8,52.1929,0.1256,European Bioinformatics Institute,GB
155.69.203.113,1.34712,103.68,Nanyang Technological University,SG
74.125.10.23,1.35208,103.82,Google LLC,SG
74.125.200.102,37.422,-122.084,Google LLC,US
220.156.176.5,1.3032,103.793,"ComIT, Institute of Molecular and Cell Biology",SG
172.217.27.14,1.35208,103.82,Google LLC,SG
31.13.78.17,-36.8506,174.7679,Meta Platforms Ireland Limited,NZ
192.122.131.126,1.29961,103.788,A*STAR,SG
23.199.85.190,3.1686,101.7035,"Akamai Technologies, Inc.",MY
52.216.0.97,39.0438,-77.4874,AWS S3 (us-east-1),US
155.230.21.50,35.8723,128.5924,,KR
172.217.24.110,1.35208,103.82,Google LLC,SG
137.189.192.25,22.4197,114.206,Chinese University of Hong Kong (The),HK
119.81.26.244,1.35208,103.82,SoftLayer Dutch Holdings B.V,SG
140.115.32.82,24.9614,121.2437,,TW
103.21.126.2,19.0748,72.8856,Indian Institute of Technology Bombay,IN
130.14.250.13,39.0015,-77.0961,National Library of Medicine,US
74.125.10.59,1.35208,103.82,Google LLC,SG
202.21.159.241,1.44292,103.785,Rpnet,SG
167.205.50.52,-6.89148,107.611,"Computer Network Research Group, Institute of Technology Bandung",ID
123.136.64.58,1.29961,103.788,A Star,SG
137.132.22.254,1.29754,103.772,National University of Singapore,SG
203.30.39.11,1.29548,103.859,Singaren GIX,SG
155.69.160.69,1.34712,103.68,Nanyang Technological University,SG
14.139.239.194,29.9478,78.1628,Indian Institute of Remote Sensing,IN
137.132.46.73,1.29754,103.772,National University of Singapore,SG
137.132.3.12,1.29754,103.772,National University of Singapore,SG
140.135.5.201,24.9574,121.241,Chung Yung Christian University,TW
202.170.57.243,5.32699,100.273,Universiti Sains Malaysia,MY
124.197.82.28,1.32525,103.749,M1 Ltd,SG
74.125.68.141,37.422,-122.084,Google LLC,US
202.90.128.84,14.6606,121.0514,Advanced Science and Technology Institute,PH
129.132.99.164,47.5128,8.749,Swiss Federal Institute of Technology Zurich,CH
172.217.27.10,1.35208,103.82,Google LLC,SG
207.241.228.157,37.7823,-122.472,Internet Archive,US
128.173.217.6,37.2532,-80.4347,Virginia Polytechnic Institute and State Univ.,US
220.156.176.9,1.3032,103.793,"ComIT, Institute of Molecular and Cell Biology",SG
